file_name,transcription
/home/cogsci-lasrlab/Documents/CSS_Capstone/KT1_data/4M/K1cb011participant_sun.wav,sun
/home/cogsci-lasrlab/Documents/CSS_Capstone/KT1_data/4M/K1lt045participant_chick.wav,chick
/home/cogsci-lasrlab/Documents/CSS_Capstone/KT1_data/4M/K1cb103participant_sun.wav,sun
/home/cogsci-lasrlab/Documents/CSS_Capstone/KT1_data/4M/K1cb103participant_chick.wav,chick
/home/cogsci-lasrlab/Documents/CSS_Capstone/KT1_data/4M/K1cb011participant_ramp.wav,ramp
/home/cogsci-lasrlab/Documents/CSS_Capstone/KT1_data/4M/K1lm031participant_lock.wav,lock
/home/cogsci-lasrlab/Documents/CSS_Capstone/KT1_data/4M/K1cb103participant_run.wav,run
/home/cogsci-lasrlab/Documents/CSS_Capstone/KT1_data/4M/K1lt133participant_window.wav,window
/home/cogsci-lasrlab/Documents/CSS_Capstone/KT1_data/4M/K1pv023participant_wing.wav,wing
/home/cogsci-lasrlab/Documents/CSS_Capstone/KT1_data/4M/K1lm067participant_thumb.wav,thumb
/home/cogsci-lasrlab/Documents/CSS_Capstone/KT1_data/4M/K1lm067participant_run.wav,run
/home/cogsci-lasrlab/Documents/CSS_Capstone/KT1_data/4M/K1pe147participant_shoe.wav,shoe
/home/cogsci-lasrlab/Documents/CSS_Capstone/KT1_data/4M/K1pe147participant_rock.wav,rock
/home/cogsci-lasrlab/Documents/CSS_Capstone/KT1_data/4M/K1lt133participant_lamp.wav,lamp
/home/cogsci-lasrlab/Documents/CSS_Capstone/KT1_data/4M/K1pv023participant_rock.wav,rock
/home/cogsci-lasrlab/Documents/CSS_Capstone/KT1_data/4M/K1lt133participant_fan.wav,fan
/home/cogsci-lasrlab/Documents/CSS_Capstone/KT1_data/4M/K1lm067participant_sun.wav,sun
/home/cogsci-lasrlab/Documents/CSS_Capstone/KT1_data/4M/K1cb103participant_rainbow.wav,rainbow
/home/cogsci-lasrlab/Documents/CSS_Capstone/KT1_data/4M/K1lt045participant_window.wav,window
/home/cogsci-lasrlab/Documents/CSS_Capstone/KT1_data/4M/K1lm067participant_shoe.wav,shoe
/home/cogsci-lasrlab/Documents/CSS_Capstone/KT1_data/4M/K1lm031participant_chip.wav,chip
/home/cogsci-lasrlab/Documents/CSS_Capstone/KT1_data/4M/K1lt133participant_ship.wav,ship
/home/cogsci-lasrlab/Documents/CSS_Capstone/KT1_data/4M/K1lt133participant_chick.wav,chick
/home/cogsci-lasrlab/Documents/CSS_Capstone/KT1_data/4M/K1lt045participant_ring.wav,ring
/home/cogsci-lasrlab/Documents/CSS_Capstone/KT1_data/4M/K1lm031participant_thumb.wav,thumb
/home/cogsci-lasrlab/Documents/CSS_Capstone/KT1_data/4M/K1cb011participant_one.wav,one
/home/cogsci-lasrlab/Documents/CSS_Capstone/KT1_data/4M/K1lm067participant_chick.wav,chick
/home/cogsci-lasrlab/Documents/CSS_Capstone/KT1_data/4M/K1pe147participant_sun.wav,sun
/home/cogsci-lasrlab/Documents/CSS_Capstone/KT1_data/4M/K1pv023participant_lamp.wav,lamp
/home/cogsci-lasrlab/Documents/CSS_Capstone/KT1_data/4M/K1cc067participant_ramp.wav,ramp
/home/cogsci-lasrlab/Documents/CSS_Capstone/KT1_data/4M/K1lt133participant_one.wav,one
/home/cogsci-lasrlab/Documents/CSS_Capstone/KT1_data/4M/K1pv023participant_one.wav,one
/home/cogsci-lasrlab/Documents/CSS_Capstone/KT1_data/4M/K1pe147participant_rainbow.wav,rainbow
/home/cogsci-lasrlab/Documents/CSS_Capstone/KT1_data/4M/K1lm067participant_rainbow.wav,rainbow
/home/cogsci-lasrlab/Documents/CSS_Capstone/KT1_data/4M/K1lm031participant_wing.wav,wing
/home/cogsci-lasrlab/Documents/CSS_Capstone/KT1_data/4M/K1cb011participant_leg.wav,leg
/home/cogsci-lasrlab/Documents/CSS_Capstone/KT1_data/4M/K1lm067participant_socks.wav,socks
/home/cogsci-lasrlab/Documents/CSS_Capstone/KT1_data/4M/K1lt045participant_rainbow.wav,rainbow
/home/cogsci-lasrlab/Documents/CSS_Capstone/KT1_data/4M/K1lm031participant_ring.wav,ring
/home/cogsci-lasrlab/Documents/CSS_Capstone/KT1_data/4M/K1lm067participant_window.wav,window
